,Word,Count,% of Total
1,you,2577,6.0109162157118865
2,i,2549,5.945605523418548
3,the,1163,2.712726254898302
4,to,922,2.15058779623064
5,me,803,1.8730173539839523
6,it,737,1.7190707221496546
7,and,672,1.5674566150401197
8,a,596,1.3901847359582011
9,my,593,1.3831871617839149
10,are,520,1.212912856876283
11,that,477,1.1126142937115133
12,your,470,1.0962866206381787
13,oh,466,1.0869565217391304
14,love,428,0.9983205821981713
15,am,427,0.9959880574734092
16,in,407,0.9493375629781676
17,be,405,0.9446725135286435
18,know,396,0.9236797910057847
19,all,378,0.8816943459600672
20,so,364,0.8490389998133981
21,like,346,0.8070535547676805
22,dont,345,0.8047210300429184
23,just,338,0.7883933569695838
24,on,332,0.7743982086210114
25,is,329,0.7674006344467251
26,of,316,0.7370778130248181
27,will,311,0.7254151894010077
28,have,304,0.7090875163276731
29,its,298,0.6950923679791006
30,but,292,0.6810972196305282
31,yeah,290,0.6764321701810039
32,baby,289,0.6740996454562418
33,no,284,0.6624370218324315
34,with,273,0.6367792498600485
35,what,266,0.6204515767867139
36,now,256,0.5971263295390932
37,we,241,0.5621384586676619
38,heart,238,0.5551408844933756
39,one,215,0.5014928158238477
40,never,212,0.4944952416495615
41,for,210,0.4898301922000374
42,cant,208,0.48516514275051315
43,this,201,0.46883746967717854
44,if,200,0.46650494495241646
45,ooh,192,0.4478447471543199
46,can,190,0.44317969770479565
47,chorus,187,0.4361821235305094
48,wanna,184,0.4291845493562232
49,when,182,0.42451949990669907
50,want,181,0.42218697518193693
51,way,174,0.4058593021086024
52,cause,174,0.4058593021086024
53,back,172,0.40119425265907815
54,say,169,0.3941966784847919
55,time,167,0.3895316290352678
56,do,165,0.3848665795857436
57,go,163,0.38020153013621943
58,got,159,0.3708714312371711
59,let,152,0.35454375816383654
60,from,147,0.3428811345400261
61,need,145,0.33821608509050194
62,make,136,0.3172233625676432
63,out,136,0.3172233625676432
64,were,135,0.31489083784288113
65,as,134,0.31255831311811905
66,up,131,0.3055607389438328
67,right,127,0.29623064004478444
68,would,125,0.29156559059526027
69,how,122,0.28456801642097407
70,could,118,0.2752379175219257
71,tell,117,0.27290539279716364
72,take,114,0.26590781862287743
73,girl,114,0.26590781862287743
74,get,114,0.26590781862287743
75,life,112,0.26124276917335326
76,not,111,0.2589102444485911
