,Word,Count,% of Total
1,you,2577,7.1123009411310125
2,i,2549,7.035023321281704
3,me,803,2.2162117406783874
4,my,593,1.636629591808572
5,your,470,1.2971600474705378
6,oh,466,1.2861203874920653
7,love,428,1.181243617696575
8,in,407,1.1232854028095933
9,be,405,1.1177655728203573
10,know,396,1.0929263378687937
11,all,378,1.0432478679656667
12,so,364,1.0046090580410123
13,like,346,0.9549305881378853
14,dont,345,0.9521706731432673
15,just,338,0.93285126818094
16,on,332,0.9162917782132309
17,will,311,0.8583335633262495
18,have,304,0.8390141583639223
19,its,298,0.8224546683962134
20,but,292,0.8058951784285044
21,yeah,290,0.8003753484392682
22,baby,289,0.7976154334446499
23,no,284,0.7838158584715591
24,with,273,0.7534567935307592
25,what,266,0.7341373885684321
26,now,256,0.7065382386222505
27,we,241,0.6651395137029779
28,heart,238,0.6568597687191234
29,one,215,0.5933817238429057
30,never,212,0.5851019788590511
31,for,210,0.5795821488698149
32,cant,208,0.5740623188805785
33,if,200,0.5519829989236331
34,ooh,192,0.5299036789666878
35,can,190,0.5243838489774515
36,chorus,187,0.5161041039935971
37,wanna,184,0.5078243590097425
38,when,182,0.5023045290205062
39,want,181,0.49954461402588796
40,way,174,0.4802252090635608
41,cause,174,0.4802252090635608
42,back,172,0.47470537907432453
43,say,169,0.46642563409047
44,time,167,0.46090580410123366
45,do,165,0.4553859741119974
46,go,163,0.449866144122761
47,got,159,0.4388264841442884
48,let,152,0.4195070791819612
49,need,145,0.4001876742196341
50,make,136,0.37534843926807054
51,out,136,0.37534843926807054
52,were,135,0.3725885242734524
53,as,134,0.3698286092788342
54,up,131,0.36154886429497973
55,right,127,0.35050920431650706
56,would,125,0.3449893743272707
57,how,122,0.33670962934341625
58,could,118,0.3256699693649436
59,tell,117,0.3229100543703254
60,get,114,0.3146303093864709
61,take,114,0.3146303093864709
62,girl,114,0.3146303093864709
63,life,112,0.30911047939723457
64,not,111,0.3063505644026164
65,feel,110,0.30359064940799824
66,see,106,0.29255098942952557
67,night,106,0.29255098942952557
68,come,104,0.28703115944028923
69,there,102,0.2815113294510529
70,where,100,0.27599149946181656
71,was,100,0.27599149946181656
72,she,99,0.2732315844671984
73,down,99,0.2732315844671984
74,always,95,0.26219192448872575
75,still,93,0.2566720944994894
76,world,93,0.2566720944994894
77,been,93,0.2566720944994894
78,hey,92,0.25391217950487127
79,everybody,91,0.2511522645102531
80,gonna,89,0.24563243452101674
81,theres,86,0.23735268953716226
82,everything,84,0.23183285954792593
83,said,83,0.22907294455330773
84,more,82,0.2263130295586896
85,roll,81,0.22355311456407143
86,over,80,0.22079319956945326
87,leave,78,0.21527336958021692
88,aint,78,0.21527336958021692
89,without,78,0.21527336958021692
90,na,77,0.21251345458559875
91,us,76,0.2097535395909806
92,again,76,0.2097535395909806
93,long,75,0.20699362459636242
94,every,75,0.20699362459636242
95,light,75,0.20699362459636242
96,only,75,0.20699362459636242
97,give,74,0.20423370960174428
98,why,74,0.20423370960174428
99,ha,74,0.20423370960174428
100,at,73,0.2014737946071261
101,through,72,0.19871387961250794
102,here,72,0.19871387961250794
103,our,70,0.1931940496232716
104,eyes,70,0.1931940496232716
105,who,68,0.18767421963403527
106,her,68,0.18767421963403527
107,brian,67,0.1849143046394171
108,much,67,0.1849143046394171
109,bye,67,0.1849143046394171
110,else,65,0.17939447465018077
111,day,63,0.17387464466094446
112,gotta,63,0.17387464466094446
113,nick,62,0.1711147296663263
114,aj,62,0.1711147296663263
115,close,61,0.16835481467170813
116,place,60,0.16559489967708996
117,nothing,56,0.15455523969861729
118,things,56,0.15455523969861729
119,had,56,0.15455523969861729
120,care,54,0.14903540970938095
121,believe,53,0.14627549471476278
122,did,53,0.14627549471476278
123,done,52,0.14351557972014461
124,left,52,0.14351557972014461
125,think,52,0.14351557972014461
126,stay,51,0.14075566472552645
127,body,51,0.14075566472552645
128,show,51,0.14075566472552645
129,around,50,0.13799574973090828
130,hear,50,0.13799574973090828
131,keep,50,0.13799574973090828
132,days,48,0.13247591974167194
133,wish,48,0.13247591974167194
134,best,48,0.13247591974167194
135,nobody,48,0.13247591974167194
136,hold,47,0.12971600474705378
137,than,47,0.12971600474705378
138,by,47,0.12971600474705378
139,alright,46,0.12695608975243564
140,thing,46,0.12695608975243564
